"Date","Province","CaseCounts"
2021-04-21,"AB",172873.219081955
2021-04-22,"AB",174310.579507319
2021-04-23,"AB",175766.418340382
2021-04-24,"AB",177239.882815755
2020-04-04,"BC",1213.50074902967
2020-04-05,"BC",1232.13049869447
2020-04-06,"BC",1252.75618170215
2020-04-07,"BC",1275.23434506424
2020-04-08,"BC",1299.42501028597
2020-04-09,"BC",1325.1916733663
2020-04-10,"BC",1352.40130479791
2020-04-11,"BC",1380.92434956718
2020-04-12,"BC",1410.63472715422
2020-04-13,"BC",1441.40983153285
2020-04-14,"BC",1473.1305311706
2020-04-15,"BC",1505.68116902872
2020-04-16,"BC",1538.94956256218
2020-04-17,"BC",1572.82700371966
2020-04-18,"BC",1607.20825894355
2020-04-19,"BC",1641.99156916997
2020-04-20,"BC",1677.07864982875
2020-04-21,"BC",1712.37469084342
2020-04-22,"BC",1747.78835663124
2020-04-23,"BC",1783.23178610319
2020-04-24,"BC",1818.62059266395
2020-04-25,"BC",1853.87386421193
2020-04-26,"BC",1888.91416313925
2020-04-27,"BC",1923.66752633174
2020-04-28,"BC",1958.06346516895
2020-04-29,"BC",1992.03496552415
2020-04-30,"BC",2025.51848776432
2020-05-01,"BC",2058.45396675015
2020-05-02,"BC",2090.78481183606
2020-05-03,"BC",2122.45790687017
2020-05-04,"BC",2153.42361019433
2020-05-05,"BC",2183.63575464409
2020-05-06,"BC",2213.05164754872
2020-05-07,"BC",2241.63207073122
2020-05-08,"BC",2269.34128050828
2020-05-09,"BC",2296.14700769033
2020-05-10,"BC",2322.0204575815
2020-05-11,"BC",2346.93630997964
2020-05-12,"BC",2370.87271917631
2020-05-13,"BC",2393.81131395681
2020-05-14,"BC",2415.73719760011
2020-05-15,"BC",2436.63894787894
2020-05-16,"BC",2456.50861705971
2020-05-17,"BC",2475.34173190258
2020-05-18,"BC",2493.1372936614
2020-05-19,"BC",2509.89777808374
2020-05-20,"BC",2525.6291354109
2020-05-21,"BC",2540.34079037786
2020-05-22,"BC",2554.04564221336
2020-05-23,"BC",2566.76006463983
2020-05-24,"BC",2578.50390587341
2020-05-25,"BC",2589.30048862398
2020-05-26,"BC",2599.17661009511
2020-05-27,"BC",2608.16254198409
2020-05-28,"BC",2616.29203048195
2020-05-29,"BC",2623.6022962734
2020-05-30,"BC",2630.13403453689
2020-05-31,"BC",2635.93141494458
2020-06-01,"BC",2641.04208166233
2020-06-02,"BC",2645.51715334974
2020-06-03,"BC",2649.41122316011
2020-06-04,"BC",2652.78235874046
2020-06-05,"BC",2655.69210223152
2020-06-06,"BC",2658.20547026775
2020-06-07,"BC",2660.3909539773
2020-06-08,"BC",2662.32041156715
2020-06-09,"BC",2664.06708913899
2020-06-10,"BC",2665.70277359265
2020-06-11,"BC",2667.29738084037
2020-06-12,"BC",2668.91895563488
2020-06-13,"BC",2670.63367156944
2020-06-14,"BC",2672.50583107782
2020-06-15,"BC",2674.5978654343
2020-06-16,"BC",2676.97033475368
2020-06-17,"BC",2679.68192799127
2020-06-18,"BC",2682.78946294291
2020-06-19,"BC",2686.34788624492
2020-06-20,"BC",2690.41027337417
2020-06-21,"BC",2695.02782864803
2020-06-22,"BC",2700.24988522439
2020-06-23,"BC",2706.12390510165
2020-06-24,"BC",2712.69547911872
2020-06-25,"BC",2720.00832695503
2020-06-26,"BC",2728.10429713053
2020-06-27,"BC",2737.02336700569
2020-06-28,"BC",2746.80364278146
2020-06-29,"BC",2757.48135949935
2020-06-30,"BC",2769.09088104135
2020-07-01,"BC",2781.66470012999
2020-07-02,"BC",2795.2334383283
2020-07-03,"BC",2809.82584603982
2020-07-04,"BC",2825.46880250862
2020-07-05,"BC",2842.18731581928
2020-07-06,"BC",2860.00452289688
2020-07-07,"BC",2878.94168950704
2020-07-08,"BC",2899.01821025587
2020-07-09,"BC",2920.25160859002
2020-07-10,"BC",2942.65753679662
2020-07-11,"BC",2966.24977600336
2020-07-12,"BC",2991.04023617839
2020-07-13,"BC",3017.03895613044
2020-07-14,"BC",3044.25410350869
2020-07-15,"BC",3072.69197480288
2020-07-16,"BC",3102.35699534324
2020-07-17,"BC",3133.25171930053
2020-07-18,"BC",3165.37682968601
2020-07-19,"BC",3198.73113835147
2020-07-20,"BC",3233.31158598921
2020-07-21,"BC",3269.11324213204
2020-07-22,"BC",3306.12930515328
2020-07-23,"BC",3344.35110226678
2020-07-24,"BC",3383.76808952688
2020-07-25,"BC",3424.36785182848
2020-07-26,"BC",3466.13610290694
2020-07-27,"BC",3509.05668533817
2020-07-28,"BC",3553.11157053858
2020-07-29,"BC",3598.2808587651
2020-07-30,"BC",3644.54277911519
2020-07-31,"BC",3691.87368952679
2020-08-01,"BC",3740.24807677838
2020-08-02,"BC",3789.63855648895
2020-08-03,"BC",3840.015873118
2020-08-04,"BC",3891.34889996555
2020-08-05,"BC",3943.60463917213
2020-08-06,"BC",3996.74822171879
2020-08-07,"BC",4050.74290742709
2020-08-08,"BC",4105.55008495911
2020-08-09,"BC",4161.12927181744
2020-08-10,"BC",4217.43811434517
2020-08-11,"BC",4274.43244138616
2020-08-12,"BC",4332.06809208581
2020-08-13,"BC",4390.30470899721
2020-08-14,"BC",4449.10657987558
2020-08-15,"BC",4508.44264103209
2020-08-16,"BC",4568.28647733386
2020-08-17,"BC",4628.6163222039
2020-08-18,"BC",4689.4150576212
2020-08-19,"BC",4750.67021412064
2020-08-20,"BC",4812.37397079306
2020-08-21,"BC",4874.52315528522
2020-08-22,"BC",4937.11924379982
2020-08-23,"BC",5000.1683610955
2020-08-24,"BC",5063.6812804868
2020-08-25,"BC",5127.67342384423
2020-08-26,"BC",5192.16486159421
2020-08-27,"BC",5257.18031271911
2020-08-28,"BC",5322.74914475721
2020-08-29,"BC",5388.90537380274
2020-08-30,"BC",5455.68766450586
2020-08-31,"BC",5523.13933007265
2020-09-01,"BC",5591.30833226515
2020-09-02,"BC",5660.24728140129
2020-09-03,"BC",5730.01343635498
2020-09-04,"BC",5800.66870455603
2020-09-05,"BC",5872.27964199019
2020-09-06,"BC",5944.91745319915
2020-09-07,"BC",6018.65799128053
2020-09-08,"BC",6093.58175788787
2020-09-09,"BC",6169.77390323066
2020-09-10,"BC",6247.32422607431
2020-09-11,"BC",6326.32717374018
2020-09-12,"BC",6406.88184210553
2020-09-13,"BC",6489.09197560359
2020-09-14,"BC",6573.06596722351
2020-09-15,"BC",6658.91685851034
2020-09-16,"BC",6746.76233956512
2020-09-17,"BC",6836.72474904478
2020-09-18,"BC",6928.93107416219
2020-09-19,"BC",7023.51295068617
2020-09-20,"BC",7120.60666294146
2020-09-21,"BC",7220.35314380872
2020-09-22,"BC",7322.89797472456
2020-09-23,"BC",7428.39138568153
2020-09-24,"BC",7536.98825522809
2020-09-25,"BC",7648.84811046865
2020-09-26,"BC",7764.13512706354
2020-09-27,"BC",7883.01812922903
2020-09-28,"BC",8005.67058973732
2020-09-29,"BC",8132.27062991654
2020-09-30,"BC",8263.00101965077
2020-10-01,"BC",8398.04917737999
2020-10-02,"BC",8537.60717010015
2020-10-03,"BC",8681.87171336309
2020-10-04,"BC",8831.04417127663
2020-10-05,"BC",8985.33055650449
2020-10-06,"BC",9144.94153026633
2020-10-07,"BC",9310.09240233774
2020-10-08,"BC",9481.00313105025
2020-10-09,"BC",9657.89832329132
2020-10-10,"BC",9841.00723450433
2020-10-11,"BC",10030.5637686886
2020-10-12,"BC",10226.8064783995
2020-10-13,"BC",10429.978564748
2020-10-14,"BC",10640.3278346827
2020-10-15,"BC",10858.1034543665
2020-10-16,"BC",11083.5461238723
2020-10-17,"BC",11316.8848305597
2020-10-18,"BC",11558.3368063568
2020-10-19,"BC",11808.1075277602
2020-10-20,"BC",12066.3907158346
2020-10-21,"BC",12333.3683362132
2020-10-22,"BC",12609.2105990974
2020-10-23,"BC",12894.0759592573
2020-10-24,"BC",13188.1111160309
2020-10-25,"BC",13491.4510133248
2020-10-26,"BC",13804.218839614
2020-10-27,"BC",14126.5260279418
2020-10-28,"BC",14458.4722559197
2020-10-29,"BC",14800.1454457277
2020-10-30,"BC",15151.6217641141
2020-10-31,"BC",15512.9656223957
2020-11-01,"BC",15884.2296764575
