OBJECTID,HR_UID,Province,CaseCount,Deaths,Recovered,Tests,Last_Updated,GlobalID
18294,3575,ON,272,5,261,49928,2020/10/06 21:07:00+00,{D58163A4-105D-4BA1-A699-E8503480382B}
18295,3595,ON,21142,1307,17462,,2020/10/06 21:08:00+00,{AB54E7F2-5F07-4C4F-B186-B32A2F74E788}
18296,4601,MB,1164,9,484,,2020/10/06 22:43:00+00,{DCFA239A-8992-4E8F-A631-D64C71E01A77}
18297,4602,MB,527,4,509,,2020/10/06 22:43:00+00,{63D7433A-62A8-4FAF-8D42-4F196849EACB}
18298,4603,MB,185,0,124,,2020/10/06 22:44:00+00,{4EA4DE99-A530-4925-8465-5107EC334C4F}
18299,1011,NL,250,3,246,30727,2020/10/06 20:00:59+00,{6F9E8703-5829-46BD-AF88-C02C5998BE11}
18300,1012,NL,14,0,13,5423,2020/10/06 20:02:00+00,{EB92C040-7673-4732-8D6F-F86890E65899}
18301,1013,NL,6,1,4,5964,2020/10/06 20:02:00+00,{319D7ADC-AF95-4EF2-9CCA-2C579EEFAF9F}
18302,1014,NL,7,0,6,2624,2020/10/06 20:03:00+00,{0354E2FE-82B5-4610-BC12-A2C5A50653EB}
18303,1201,NS,56,,,,2020/10/06 20:10:00+00,{33753F0E-3B7B-4EC8-83CD-699B7C6E6493}
18304,1202,NS,68,,,,2020/10/06 20:10:00+00,{9B788E28-9949-43D9-94D3-2A2B7B7AF7D1}
18305,2411,QC,477,15,,,2020/10/06 20:42:59+00,{1A653410-83FF-468C-BA53-9A05532CE035}
18306,2412,QC,1736,26,,,2020/10/06 20:42:59+00,{1A922142-BA26-4A57-A4CF-1C096F850286}
18307,2414,QC,5568,223,,,2020/10/06 20:45:00+00,{151EF19A-6620-43B4-BC0E-D118A44BBA6F}
18308,2415,QC,5142,283,,,2020/10/06 20:45:00+00,{D0694A52-9C89-4EF1-B4AD-FF6B6823B7FB}
18309,2416,QC,11624,630,,,2020/10/06 20:45:59+00,{4EDD5715-8A1E-421A-AD65-513644A4D24C}
18310,2417,QC,21,0,,,2020/10/06 22:34:00+00,{E0394923-DBFC-4B3C-9D8B-2A4030129AD3}
18311,2418,QC,14,1,,,2020/10/06 22:34:00+00,{09F2E8BD-E76D-4358-B2A5-FC014EDC4C76}
18312,3526,ON,37,0,34,46896,2020/10/06 20:16:00+00,{6F53E702-2EC5-42BA-9D3B-F35B73DEF2E8}
18313,3527,ON,199,5,183,30876,2020/10/06 20:16:59+00,{D44F47C9-F60E-4D58-96FD-3721554E8992}
18314,3530,ON,2264,181,2005,,2020/10/06 20:16:59+00,{9419F95B-6EF8-4B73-ADB6-BEC704699C89}
18315,1100,PE,61,,58,35378,2020/10/06 20:12:00+00,{96B876F6-1827-420F-BE5F-2E651DA2B1F3}
18316,2413,QC,7779,691,,,2020/10/06 20:44:00+00,{1A5ABD87-51E5-4D0F-89CA-1EF99B5C146B}
18317,3533,ON,149,0,143,,2020/10/06 20:18:00+00,{FDE38C57-D467-4587-BBF2-B11864951893}
18318,3534,ON,494,32,453,6121,2020/10/06 20:19:00+00,{45B82048-8B9C-48A3-937F-C4A21920BAB7}
18319,3535,ON,245,33,219,,2020/10/06 20:19:59+00,{9A834260-18CF-40CF-BB73-0F6DADD1C344}
18320,3536,ON,1390,27,1195,101990,2020/10/06 20:19:59+00,{88194F52-5057-43E5-A190-599651A021FB}
18321,592,BC,556,2,529,73515,2020/10/07 00:17:59+00,{5B19D31E-587A-4E51-B81F-BB717BDB2E16}
18322,591,BC,5038,113,4030,225580,2020/10/07 00:19:00+00,{DE0CF697-3A25-4227-96C5-A0E652820642}
18323,595,BC,3612,120,3035,201075,2020/10/07 00:20:00+00,{DCE2259B-B23E-47E2-9194-49A9DE6E1B4D}
18324,593,BC,221,6,204,74317,2020/10/07 00:19:00+00,{0E0FD8D6-41E7-47D5-814A-64112829B12F}
18325,594,BC,324,3,305,23165,2020/10/07 00:17:59+00,{7CCC39BA-8F21-4E0C-A56D-A9F7CD86E2DC}
18326,4750,SK,105,1,63,14096,2020/10/06 22:50:00+00,{01EF99CA-B20B-4A4F-8EED-62CF74D90238}
18327,4751,SK,176,1,173,5008,2020/10/06 22:50:00+00,{E0897F88-2D65-4919-BAB8-992FE0EB61B5}
18328,4752,SK,0,0,0,350,2020/10/06 22:50:59+00,{A14A5313-D342-48DB-8DB4-A58A7C58CEB8}
18329,4753,SK,9,0,9,3206,2020/10/06 22:50:59+00,{081691D9-815E-42DB-9F40-4ABBCD560E9B}
18330,4754,SK,351,7,342,6928,2020/10/06 22:44:59+00,{5408FD03-2353-4154-88C2-452AF6A31E61}
18331,4755,SK,81,2,71,14312,2020/10/06 22:46:00+00,{D5809590-C5E5-41D9-914D-45BCC5CE1FDB}
18332,4756,SK,69,0,68,6362,2020/10/06 22:46:00+00,{4BF8C040-9CA6-4876-A677-4ACB68F5C5F9}
18333,4757,SK,132,4,128,11594,2020/10/06 22:46:00+00,{3312E0FF-82E6-408D-9143-38440C72D2CF}
18334,4758,SK,194,2,166,41132,2020/10/06 22:47:00+00,{B2D9D78C-A72F-4D64-9CCC-5A8E14EACCE2}
18335,4759,SK,410,2,368,59037,2020/10/06 22:47:59+00,{1DD679BF-5DE7-49A6-8DE4-23FD44E03979}
18336,4760,SK,205,4,193,10794,2020/10/06 22:47:59+00,{4709D926-ADE6-4D46-BB29-F1099269989C}
18337,4761,SK,26,0,19,11251,2020/10/06 22:49:00+00,{C7585315-25FF-48D6-B0B2-BADD34C0C0F4}
18338,4762,SK,225,1,221,6352,2020/10/06 22:49:00+00,{480C8CD6-C532-40DC-BDD2-0674F8D5B91F}
18339,3537,ON,1244,47,1068,106683,2020/10/07 19:57:59+00,{32D708AC-7524-4E88-8516-4E1CFB919C7A}
18340,3538,ON,60,5,47,40054,2020/10/07 19:59:00+00,{674F53B2-7E5D-4802-9F23-672C78B67C3B}
18341,3539,ON,135,5,124,40061,2020/10/07 20:03:59+00,{3FA22823-7B3F-4F04-A07F-93B16276F516}
18342,3540,ON,371,3,365,28777,2020/10/07 20:03:59+00,{800B3964-3758-4466-8764-EBBF27C80418}
18343,3541,ON,156,0,135,69276,2020/10/07 20:05:00+00,{D13B2D26-214F-4F91-8EC9-C1B9239425AE}
18344,3542,ON,347,25,322,27811,2020/10/07 20:06:59+00,{136A914B-165F-497E-BBC4-E2AD54B4F61A}
18345,3543,ON,400,52,340,7981,2020/10/07 20:06:59+00,{A243A3CF-29A0-4518-9BDA-2720F8ACA8CF}
18346,3544,ON,922,57,801,110908,2020/10/07 20:07:59+00,{D5EFBBD1-5720-4AFF-AA7F-61471151B2C7}
18347,6001,YT,15,,15,3542,2020/10/07 23:28:00+00,{4747B7FC-DE10-4E1A-9CAD-1EC986EBA27F}
18348,6101,NT,5,0,5,5491,2020/10/07 23:18:00+00,{62C2C624-0E5E-4421-A265-63FF5245DFA7}
18349,6201,NU,0,,,3159,2020/10/07 23:16:00+00,{DE06F674-B607-48E6-823E-1784D7C379F0}
18350,4831,AB,1900,26,1796,72120,2020/10/07 23:26:00+00,{1BD45DA0-99EE-4FA3-8CC3-1636FD038B64}
18351,4832,AB,9253,130,8503,432585,2020/10/07 23:26:00+00,{0542BB0B-444B-4274-8ACA-E6289A53312C}
18352,4833,AB,694,7,657,93081,2020/10/07 23:26:59+00,{1DFC82A2-960D-425F-B3C9-BD104FC65D3E}
18353,4834,AB,5974,83,4806,362972,2020/10/07 23:26:59+00,{8316497D-AE01-49BB-9E05-572B5512BF2C}
18354,4835,AB,1490,35,1365,106754,2020/10/07 23:25:00+00,{9DB666D1-3C82-4B7B-B0A9-9DAEB6BB52F5}
18355,1307,NB,3,0,3,3085,2020/10/07 20:38:00+00,{00F56C78-80B1-4745-A529-2075695A01B5}
18356,2401,QC,376,6,,,2020/10/07 20:42:59+00,{92A1C23E-7783-419A-A504-DDBE4110396C}
18357,2402,QC,504,26,,,2020/10/07 20:42:59+00,{7A3A19AD-ABCC-4C05-8918-05AABFA60CCC}
18358,2403,QC,5392,232,,,2020/10/07 20:42:59+00,{59A02F9B-5605-4927-99F1-08DB2AFA7F23}
18359,2404,QC,2729,211,,,2020/10/07 20:44:00+00,{BAC5885F-76D0-4760-BA8E-07DF49B600A2}
18360,2405,QC,1925,33,,,2020/10/07 20:44:00+00,{D740BE08-BFB9-43D7-93D2-6747CCB6D67F}
18361,2406,QC,36207,3487,,,2020/10/07 20:45:00+00,{20136D7F-0F37-43FB-8731-BCC5E835B81B}
18362,2407,QC,1629,34,,,2020/10/07 20:45:00+00,{A5D7A45B-7CA7-40C9-862E-F7829F5EB1B9}
18363,2408,QC,213,4,,,2020/10/07 20:45:00+00,{B32A553A-0DE1-41C7-9FB8-D7BDE71FAB14}
18364,2409,QC,158,1,,,2020/10/07 20:45:59+00,{576093CE-1883-46EA-987E-BE61BD1EAF74}
18365,2410,QC,9,0,,,2020/10/07 23:13:00+00,{39FBD9C5-DADF-4741-BDBD-2E18731F98B1}
18366,3546,ON,1156,65,945,,2020/10/07 20:07:59+00,{59E9269A-F7FE-4ADC-A3F0-03E32A3906C1}
18367,3547,ON,40,1,39,41827,2020/10/07 20:09:00+00,{D23E0BF0-75DF-4639-907B-C5C1B6D48D70}
18368,3549,ON,66,,53,30498,2020/10/07 23:16:00+00,{5FC5231E-A9DF-43CD-9573-79308A59469B}
18369,3551,ON,4970,295,3865,,2020/10/07 20:09:00+00,{5C3DF220-62EC-48AB-9148-8E1328985B5D}
18370,3553,ON,10439,331,9213,,2020/10/07 20:10:00+00,{CD6BE35B-B4D8-4F6B-844E-E4E1B5AD4001}
18371,3555,ON,130,2,120,31150,2020/10/07 20:10:00+00,{386FFF45-EACF-4835-9DA9-70F810EEA6CD}
18372,3556,ON,85,9,73,25198,2020/10/07 23:13:59+00,{25F9892C-C1D1-4B8D-86AA-C9A87AA7FAF1}
